"ParticipantId","Condition","Type1","Type2","Type3"
"PO0892","VR",29582.7551166667,31869.0601666667,11109.2347
"RA5840","VR Monitor Stereo",31435.1071166667,31140.83365,16562.3302
"RA7601","VR Monitor",42702.9093666667,31291.8092166667,29910.07898
"RA8589","VR",30032.7954833333,29147.2384,56643.7593
"RG8876","VR",26577.91345,55993.6183333333,30269.50102
"RI5022","VR",29718.3934166667,32163.0101666667,22435.3503
"RL2345","VR",28562.1165,20496.2358666667,18128.51224
"RL9680","VR Monitor",77297.6252166667,59837.8589333333,14437.96666
"RR2012","VR Monitor",44754.5403833333,27587.0391833333,31690.4793
"RS1080","VR",38154.54022,23634.91315,25817.61334
"SC0288","VR Monitor Stereo",40949.2771333333,72874.8513833333,28138.77674
"SI4816","VR",24621.23925,25183.77775,27202.61166
"SI9216","VR Monitor Stereo",21682.1452166667,24841.42465,21358.79378
"SU6398","VR",30582.3221666667,40331.9613166667,14618.6457
"UA7716","VR Monitor Stereo",51015.5596166667,32390.3745166667,21543.8267
"UG4668","VR",58130.83058,61149.1629,21483.47194
"UI1542","VR Monitor",23253.2291833333,25442.2788166667,13083.44524
"UI1985","VR",28389.1784833333,30359.1172333333,27815.548025
"UK0825","VR",48186.18492,63740.71536,47323.96892
"UO5311","VR",23242.0272333333,14643.4795833333,21275.90762
"YA9918","VR",23289.9463166667,25297.3593333333,17212.79766
"YB5143","VR Monitor",42679.06128,28240.4490833333,58046.278775
"YE7121","VR Monitor Stereo",54669.8220333333,55334.5482166667,18393.7262
"YI8949","VR",27801.0357,27802.6212666667,16103.78864
"YO1643","VR Monitor",66515.1982833333,53818.7186,60352.751475
"YO8153","VR Monitor",43973.0356833333,36143.2325166667,40040.56795
