"ParticipantId","Condition","Type1","Type2","Type3"
"UI1542","VR Monitor",0.916666666666667,0.833333333333333,0.9
"UI1985","VR",0.833333333333333,0.625,0.75
"UK0825","VR",0.4,0.1,0.25
"UO5311","VR",1,0.625,0.8
"YA9918","VR",0.583333333333333,0.416666666666667,0.6
"YB5143","VR Monitor",0.55,0.333333333333333,0
"YE7121","VR Monitor Stereo",0.875,0.5,0.875
"YI8949","VR",1,1,1
"YO1643","VR Monitor",0.833333333333333,0.25,0.625
"YO8153","VR Monitor",0.625,0.333333333333333,0.75
