"ParticipantId","Condition","Type1","Type2","Type3"
"MU9517","VR Monitor Stereo",6778.94636666667,8612.28195,7618.58554
"OA0505","VR Monitor Stereo",7832.48155,8751.7292,13917.98626
"OA0701","VR Monitor Stereo",12963.9409666667,10943.1560333333,14833.76006
"OA2385","VR Monitor Stereo",6378.72515,7108.03495,5641.28516
"OA5003","VR",15480.0002666667,12587.0216,10692.92702
"OA8593","VR",9463.1627,6821.865,5629.6291
"OA9699","VR Monitor",7806.0751,10285.893,8268.84914
"OI0406","VR Monitor Stereo",6325.40706666667,6999.24433333333,5879.96696666667
"OI7107","VR",4274.7882,5669.23973333333,5267.77496
"OO1638","VR Monitor",10397.7239666667,11961.02454,10495.22076
"OO3782","VR",5796.87063333333,7824.6036,5022.54698
"OO7105","VR Monitor",3651.30136666667,898.043433333333,671.1536
"PO0892","VR",18450.5815833333,13327.6174,9543.51518
"RA5840","VR Monitor Stereo",4311.86935,7544.00991666667,9682.35626
"RA7601","VR Monitor",5794.49821666667,7118.90283333333,5462.56752
"RA8589","VR",7039.61393333333,8893.43533333333,6137.06752
"RG8876","VR",9334.63296666667,10887.2948,10967.26678
"RI5022","VR",7121.23143333333,7545.64135,8096.10164
"RL2345","VR",6078.35353333333,8055.81873333333,5830.91144
"RL9680","VR Monitor",9926.8292,7134.28378333333,13498.1992
"RR2012","VR Monitor",8137.78235,15787.1007,11800.1896
"RS1080","VR",7182.9256,8135.48645,9376.34148
"SC0288","VR Monitor Stereo",5632.51915,8407.60903333333,7410.0688
"SI4816","VR",6899.74186666667,6545.9574,8560.84964
"SI9216","VR Monitor Stereo",8503.76906666667,8288.33073333333,6411.92456
"SU6398","VR",8413.00626666667,10064.2146166667,8123.03494
"UA7716","VR Monitor Stereo",7974.13698333333,6853.11386666667,5400.04064
"UG4668","VR",5416.2508,11310.97482,7553.28468
"UI1542","VR Monitor",13646.0137666667,14430.37805,9296.64006
"UI1985","VR",7718.98525,6289.1065,7796.75455
"UK0825","VR",10537.48214,13462.39768,10032.8158
"UO5311","VR",7679.07433333333,11486.6831,8656.96584
"YA9918","VR",11637.6020833333,10209.5250333333,13649.5549
"YB5143","VR Monitor",6876.68746,6709.79606666667,6467.2696
"YE7121","VR Monitor Stereo",11773.52855,11874.0288666667,10153.924675
"YI8949","VR",6334.26908333333,7488.09953333333,8603.47654
"YO1643","VR Monitor",9586.87425,10139.32885,13442.7563
"YO8153","VR Monitor",7369.8211,8375.7383,6794.683375
